subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
GEC06,Purposive Communication,BINDTECH,CPT,3,1,3,3,0,Minor,Lecture Room,,Lecture
GEC08,"Science, Technology and Society",BINDTECH,CPT,3,1,3,3,0,Minor,Lecture Room,,Lecture
GEC09,Ethics,BINDTECH,CPT,3,1,3,3,0,Minor,Lecture Room,,Lecture
CPT16,Advanced Computer Programming,BINDTECH,CPT,3,2,3,2,1,Major,Laboratory,CPT15,Lecture+Laboratory
RES02a,Project Study 2,BINDTECH,CPT,3,2,3,2,1,Research,Lecture Room,RES01a,Lecture+Laboratory
MGT02,Technopreneurship,BINDTECH,CPT,3,2,3,3,0,Minor,Lecture Room,,Lecture
IEN11a,Production Management,BINDTECH,CPT,3,2,3,3,0,Minor,Lecture Room,,Lecture
CSH03,Foreign Languange,BINDTECH,CPT,3,2,3,3,0,Minor,Lecture Room,,Lecture
GEL11,Indigenous Creative Crafts,BINDTECH,CPT,3,2,3,3,0,Minor,Lecture Room,,Lecture
GEC01,Life and Works of Rizal,BINDTECH,CPT,3,2,3,3,0,Minor,Lecture Room,,Lecture
SIP01,Student Internship Program 1,BINDTECH,CPT,4,1,6,0,0,OJT,,,OJT
SIP02,Student Internship Program 2,BINDTECH,CPT,4,2,6,0,0,OJT,,SIP01,OJT
